Fold,Model,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,Fold_Model_Avg
5,Gradient Boosting,0.8333,0.8,0.8571,0.1667,0.4,1.0,1.0,0.0,1.0,0.6923,0.875,1.0,1.0,0.875,0.2857,0.625,1.0,0.8333,0.7778,0.8,0.5,0.875,1.0,0.8182,1.0,1.0,0.7698
5,MLP Neural Network,1.0,0.8,0.7143,0.5,0.8,0.5,1.0,1.0,1.0,0.7692,0.875,1.0,1.0,1.0,0.7143,0.75,1.0,0.8333,0.8889,1.0,1.0,0.875,1.0,0.8182,1.0,1.0,0.8784
5,MLP (PyTorch),1.0,0.8,0.8571,0.6667,0.8,0.5,1.0,1.0,1.0,0.6923,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.6667,0.8889,0.8,1.0,1.0,1.0,0.9091,1.0,1.0,0.8877
5,CNN (PyTorch),1.0,0.8,0.8571,0.6667,0.8,0.5,1.0,1.0,1.0,0.7692,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.6667,0.8889,1.0,1.0,0.875,1.0,0.9091,1.0,1.0,0.8936
5,Fold_5_Avg,0.8519,0.7778,0.8095,0.5556,0.5333,0.5556,1.0,0.8333,0.8889,0.6752,0.7917,1.0,0.9556,0.9306,0.8254,0.8194,1.0,0.7037,0.7408,0.8444,0.9444,0.8194,1.0,0.8485,0.9861,0.9444,0.8321
6,SVM,0.8571,0.9167,0.875,0.6667,1.0,0.5,0.8333,1.0,1.0,0.8333,0.875,0.3333,1.0,0.75,0.75,1.0,0.0,0.7778,0.75,1.0,0.3333,0.8889,0.8,0.8333,0.8,1.0,0.7836
6,Decision Tree,0.8571,0.75,0.875,0.3333,0.0,0.5,0.6667,0.5,1.0,0.6667,0.75,0.3333,0.7143,0.625,0.5,0.4286,0.3333,0.6667,0.5,1.0,0.1667,0.5556,0.0,0.6667,0.4,1.0,0.5688
6,Random Forest,0.8571,1.0,0.875,0.6667,0.0,1.0,0.8333,1.0,1.0,0.8333,0.875,0.3333,1.0,0.875,0.75,0.8571,0.3333,0.6667,1.0,1.0,0.3333,0.8889,0.8,0.8333,0.8,1.0,0.7851
6,Logistic Regression,0.8571,0.75,0.875,0.3333,1.0,0.5,0.8333,1.0,1.0,0.8333,0.875,0.0,1.0,0.75,0.75,1.0,0.3333,0.7778,0.75,1.0,0.5,0.8889,0.8,0.6667,0.8,1.0,0.7644
6,KNN,0.8571,0.75,0.875,0.3333,1.0,0.5,0.8333,1.0,1.0,1.0,0.875,0.0,1.0,0.75,0.75,0.7143,0.3333,0.7778,0.75,1.0,0.1667,0.8889,0.8,0.8333,0.8,1.0,0.7534
6,Gradient Boosting,0.8571,1.0,0.875,0.8333,1.0,0.5,0.8333,1.0,1.0,0.8333,0.875,0.0,0.8571,0.625,0.5,0.5714,0.6667,0.7778,1.0,0.8333,0.3333,0.8889,0.6,0.8333,0.8,1.0,0.7651
6,MLP Neural Network,0.7143,0.9167,0.75,0.5,1.0,1.0,0.8333,1.0,1.0,1.0,0.75,0.3333,1.0,0.75,0.75,0.8571,0.3333,0.8889,1.0,1.0,0.6667,0.8889,0.8,0.5,0.8,1.0,0.8089
6,MLP (PyTorch),0.8571,1.0,0.875,0.6667,1.0,0.5,0.8333,1.0,1.0,1.0,1.0,0.6667,1.0,0.75,0.75,0.8571,0.0,0.8889,0.75,1.0,0.5,0.8889,1.0,0.8333,1.0,1.0,0.8314
6,CNN (PyTorch),0.8571,1.0,0.875,0.5,1.0,1.0,0.8333,1.0,1.0,1.0,1.0,0.6667,1.0,0.75,1.0,0.8571,0.3333,0.7778,0.75,1.0,0.6667,0.7778,1.0,0.8333,1.0,1.0,0.8645
6,Fold_6_Avg,0.8412,0.8982,0.8611,0.537,0.7778,0.6667,0.8148,0.9444,1.0,0.8889,0.875,0.2963,0.9524,0.7361,0.7222,0.7936,0.2963,0.7778,0.8056,0.9815,0.4074,0.8395,0.7333,0.7592,0.8,1.0,0.7695
7,SVM,0.8333,0.7143,1.0,1.0,0.0,0.5,0.4,1.0,0.0,0.5,0.8333,,1.0,0.5,0.3333,0.8333,0.0,0.9091,0.4,0.6667,0.5,0.4286,0.8,1.0,1.0,0.5,0.6261
7,Decision Tree,0.5,1.0,0.8333,1.0,0.0,0.0,0.4,0.75,1.0,0.25,0.6667,,0.6667,0.25,0.6667,0.3333,0.25,0.7273,0.6,0.6667,0.625,0.4286,0.6,1.0,0.8,0.25,0.5706
7,Random Forest,0.8333,0.8571,1.0,0.75,0.0,1.0,0.4,1.0,1.0,0.75,0.8333,,1.0,0.5,0.6667,0.8333,0.0,1.0,0.7,0.6667,0.625,0.7143,0.7,1.0,0.8,0.75,0.7352
7,Logistic Regression,0.8333,1.0,1.0,1.0,0.0,0.5,0.2,0.75,0.0,0.5,0.5,,1.0,0.5,0.5,0.6667,0.0,1.0,0.6,0.6667,0.375,0.5714,0.7,1.0,0.6,0.25,0.5885
7,KNN,0.6667,0.8571,1.0,1.0,0.0,0.5,0.6,1.0,0.0,0.75,0.8333,,1.0,0.5,0.5,0.6667,0.0,0.8182,0.6,0.75,0.625,0.7143,0.9,1.0,0.6,0.25,0.6453
7,Gradient Boosting,0.6667,0.5714,1.0,1.0,0.5,0.5,0.4,0.75,1.0,0.5,0.6667,,1.0,0.5,0.6667,0.6667,0.25,1.0,0.8,0.5833,0.75,0.7143,0.8,1.0,0.8,0.5,0.7034
7,MLP Neural Network,0.6667,0.8571,1.0,0.75,0.5,1.0,0.2,0.75,1.0,1.0,0.6667,,1.0,0.75,0.5,0.8333,0.75,0.9091,0.6,0.8333,0.75,0.5714,0.7,1.0,0.8,0.5,0.7555
7,MLP (PyTorch),0.8333,1.0,1.0,1.0,0.5,1.0,0.6,1.0,1.0,0.75,0.8333,,1.0,1.0,0.6667,1.0,0.5,1.0,0.7,0.8333,0.75,0.8571,0.9,1.0,1.0,0.5,0.8489
7,CNN (PyTorch),0.8333,0.8571,1.0,1.0,0.5,0.5,0.6,1.0,1.0,1.0,0.8333,,1.0,1.0,0.8333,1.0,0.5,0.9091,0.8,0.9167,0.875,0.8571,0.8,1.0,0.8,0.75,0.8466
7,Fold_7_Avg,0.7407,0.8571,0.9815,0.9444,0.2222,0.6111,0.4222,0.8889,0.6667,0.6667,0.7407,,0.963,0.6111,0.5926,0.7593,0.25,0.9192,0.6444,0.7315,0.6528,0.6508,0.7667,1.0,0.8,0.4722,0.7022
8,SVM,0.8182,0.875,0.8333,0.6,0.25,1.0,0.6,1.0,,0.8,0.5,1.0,0.9,0.8889,1.0,0.9,0.0,0.5,0.8571,1.0,0.5,0.75,1.0,0.7778,0.8571,1.0,0.7683
8,Decision Tree,0.4545,0.75,0.3333,0.6,0.0,1.0,0.4,1.0,,0.4,0.5,1.0,0.8,0.5556,0.3333,0.8,0.0,0.75,0.7143,0.8333,0.0,0.625,0.75,0.6667,0.4286,1.0,0.5878
8,Random Forest,0.8182,0.875,0.8333,0.8,0.25,1.0,0.6,1.0,,0.8,0.75,1.0,0.9,0.8889,0.6667,0.9,0.0,0.75,0.7143,0.8333,0.0,0.875,1.0,0.6667,0.8571,1.0,0.7511
8,Logistic Regression,0.6364,0.625,0.8333,0.2,0.25,1.0,0.6,1.0,,0.8,1.0,1.0,0.9,0.7778,1.0,0.8,0.0,0.5,0.5714,1.0,1.0,0.375,0.5,0.7778,0.8571,1.0,0.7202
8,KNN,0.8182,0.875,0.8333,0.4,0.25,1.0,0.6,1.0,,0.6,0.75,1.0,0.9,0.8889,0.6667,0.9,0.5,0.5,0.8571,1.0,0.5,0.875,1.0,0.7778,0.7143,1.0,0.7683
8,Gradient Boosting,0.7273,0.75,0.5,0.8,0.25,1.0,0.6,1.0,,0.6,0.5,1.0,0.9,0.8889,0.6667,0.9,0.5,0.75,0.7143,1.0,0.5,0.75,0.5,0.6667,0.8571,0.5,0.7128
8,MLP Neural Network,0.8182,0.75,0.6667,0.4,0.0,1.0,0.8,1.0,,0.6,1.0,1.0,0.6,0.6667,0.6667,0.9,0.0,1.0,0.8571,0.6667,0.5,0.75,1.0,0.7778,0.8571,1.0,0.7311
8,MLP (PyTorch),0.8182,0.75,1.0,0.6,0.5,1.0,1.0,1.0,,0.8,1.0,1.0,1.0,0.7778,1.0,0.9,0.0,1.0,1.0,0.8333,1.0,1.0,1.0,0.8889,1.0,1.0,0.8747
8,CNN (PyTorch),1.0,0.625,1.0,0.6,0.75,1.0,0.8,1.0,,0.6,1.0,1.0,1.0,1.0,0.6667,0.9,0.0,1.0,1.0,0.8333,1.0,1.0,0.75,0.8889,0.8571,1.0,0.8508
8,Fold_8_Avg,0.7677,0.7639,0.7592,0.5556,0.2778,1.0,0.6667,1.0,,0.6667,0.7778,1.0,0.8778,0.8148,0.7408,0.8778,0.1111,0.75,0.8095,0.8889,0.5556,0.7778,0.8333,0.7655,0.8095,0.9444,0.7517
9,SVM,1.0,1.0,0.0,0.375,0.5,1.0,1.0,0.5,1.0,0.6667,1.0,0.75,1.0,1.0,0.5,1.0,0.0,0.625,0.0,0.8571,0.8333,0.875,0.5,0.7778,0.8333,1.0,0.7151
9,Decision Tree,0.7143,0.5,1.0,0.125,0.0,0.0,1.0,0.5,1.0,0.1667,0.7143,0.75,0.4444,0.25,0.3333,0.6667,0.125,0.375,0.5,0.4286,0.5,0.5,0.1667,0.7778,0.6667,1.0,0.5079
9,Random Forest,0.8571,1.0,0.0,0.375,0.0,1.0,0.6667,0.5,1.0,0.8333,0.8571,0.875,0.6667,0.75,0.6667,0.6667,0.25,0.625,1.0,0.8571,0.8333,0.625,0.5,0.8889,1.0,1.0,0.7036
9,Logistic Regression,0.8571,0.875,0.0,0.5,0.5,1.0,0.6667,0.5,1.0,0.6667,1.0,0.75,0.8889,0.5,0.6667,1.0,0.125,0.625,1.0,0.7143,0.8333,0.625,0.6667,0.8889,0.8333,1.0,0.7186
9,KNN,1.0,1.0,1.0,0.25,0.5,1.0,0.6667,0.5,1.0,0.8333,1.0,0.875,0.6667,0.875,0.5,1.0,0.125,0.5,1.0,0.8571,0.8333,0.75,0.8333,0.8889,0.8333,1.0,0.7803
9,Gradient Boosting,1.0,1.0,0.0,0.625,0.0,1.0,1.0,0.5,1.0,0.6667,1.0,0.875,0.6667,0.75,0.6667,1.0,0.25,0.625,1.0,0.5714,0.5,0.75,0.5,0.7778,0.6667,1.0,0.7073
9,MLP Neural Network,0.8571,1.0,0.0,0.625,1.0,0.0,1.0,0.5,1.0,0.8333,0.8571,0.875,0.8889,0.875,0.6667,1.0,0.375,0.625,1.0,0.8571,0.8333,0.75,0.5,0.8889,0.8333,1.0,0.7554
9,MLP (PyTorch),1.0,0.875,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.8333,1.0,0.625,0.75,1.0,1.0,0.8333,0.75,0.8333,0.7778,1.0,1.0,0.8809
9,CNN (PyTorch),1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.6667,1.0,0.625,1.0,1.0,1.0,0.8333,0.875,1.0,0.8889,1.0,1.0,0.9428
9,Fold_9_Avg,0.9206,0.9167,0.3333,0.4861,0.5,0.7778,0.8889,0.6111,1.0,0.7407,0.9365,0.8333,0.8025,0.7778,0.6111,0.9259,0.2778,0.6389,0.8333,0.7936,0.7592,0.7222,0.6111,0.8395,0.8518,1.0,0.7458
10,SVM,1.0,0.875,0.875,0.6667,0.0,0.75,1.0,1.0,1.0,0.7273,0.7143,1.0,0.75,0.6667,0.0,0.8,0.0,0.6667,0.3333,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,0.7369
10,Decision Tree,0.8571,0.875,0.75,1.0,0.0,0.5,0.4286,1.0,0.0,0.4545,0.7143,1.0,0.5,0.5,0.0,1.0,0.3333,0.6667,0.5,0.875,0.75,0.1667,0.0,0.6,0.8571,0.5,0.5703
10,Random Forest,0.8571,0.875,0.875,0.6667,0.0,1.0,1.0,1.0,1.0,0.7273,0.8571,1.0,1.0,0.75,0.3333,0.8,0.6667,0.6667,0.6667,1.0,1.0,0.3333,0.0,0.8,0.8571,1.0,0.7589
10,Logistic Regression,1.0,0.75,1.0,0.6667,0.0,0.5,1.0,1.0,1.0,0.6364,0.8571,1.0,0.875,0.75,0.3333,0.8,0.3333,0.8333,0.5,0.875,0.75,0.3333,1.0,0.8,1.0,1.0,0.7536
10,KNN,0.8571,0.875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7273,0.7143,1.0,0.875,0.6667,0.0,1.0,0.0,0.6667,0.6667,1.0,1.0,0.3333,1.0,1.0,0.8571,1.0,0.7784
10,Gradient Boosting,0.8571,0.875,0.875,1.0,0.0,0.5,0.7143,0.75,1.0,0.7273,0.8571,1.0,0.75,0.6667,0.0,0.8,0.6667,0.6667,0.6667,0.875,1.0,0.5,0.0,0.8,0.7143,1.0,0.7024
10,MLP Neural Network,0.7143,1.0,1.0,0.3333,0.0,0.75,1.0,1.0,1.0,0.9091,0.7143,1.0,0.875,0.6667,0.0,0.8,0.6667,0.8333,0.6667,1.0,1.0,0.3333,0.0,0.6,1.0,1.0,0.7255
10,MLP (PyTorch),0.8571,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9167,0.3333,1.0,1.0,1.0,0.5,1.0,1.0,0.6667,1.0,0.8,1.0,1.0,0.9067
10,CNN (PyTorch),1.0,0.875,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.8333,1.0,1.0,0.6667,1.0,0.8,1.0,1.0,0.9362
10,Fold_10_Avg,0.8889,0.8889,0.9306,0.8148,0.1111,0.7778,0.9048,0.9722,0.8889,0.7677,0.8254,1.0,0.8472,0.7315,0.1852,0.8889,0.5185,0.7778,0.5926,0.9583,0.9444,0.4074,0.5556,0.8,0.9206,0.9444,0.7632
,CNN (PyTorch)_Avg,0.8678,0.8357,0.935,0.6945,0.6467,0.81,0.8467,0.9833,1.0,0.8433,0.8298,0.8769,0.975,0.925,0.69,0.8998,0.5592,0.7187,0.7594,0.9217,0.8925,0.7927,0.8967,0.8468,0.8401,0.9417,0.8378
,Decision Tree_Avg,0.5978,0.6983,0.7526,0.5354,0.1583,0.56,0.6595,0.7375,0.75,0.4341,0.6316,0.8481,0.6442,0.5097,0.4014,0.6555,0.4658,0.5394,0.5009,0.7004,0.5892,0.5576,0.4783,0.6877,0.6069,0.5983,0.5860
,Gradient Boosting_Avg,0.7846,0.8396,0.7525,0.692,0.3067,0.78,0.7348,0.6958,0.875,0.7162,0.7678,0.7528,0.8774,0.7681,0.4919,0.7895,0.4233,0.6819,0.7137,0.7963,0.6933,0.8028,0.595,0.7877,0.8142,0.8067,0.7193
,KNN_Avg,0.8556,0.8807,0.9474,0.5712,0.3683,0.73,0.8133,0.8917,0.5312,0.8074,0.797,0.8028,0.8992,0.7306,0.6483,0.823,0.2542,0.6179,0.6322,0.8907,0.7275,0.7486,0.8617,0.8518,0.7959,0.8717,0.7451
,Logistic Regression_Avg,0.8482,0.7875,0.8132,0.5029,0.3267,0.71,0.77,0.8917,0.75,0.7181,0.772,0.7611,0.9314,0.7278,0.5498,0.8182,0.3075,0.6403,0.5842,0.7823,0.7758,0.6844,0.8083,0.8266,0.7936,0.7883,0.7170
,MLP (PyTorch)_Avg,0.8687,0.8425,0.835,0.6612,0.53,0.72,0.9033,0.9833,0.875,0.8417,0.8131,0.8991,0.965,0.857,0.6117,0.8998,0.4025,0.7472,0.6839,0.86,0.8383,0.7838,0.915,0.8457,0.903,0.8133,0.8027
,MLP Neural Network_Avg,0.7735,0.8749,0.784,0.548,0.5717,0.735,0.8467,0.8917,0.875,0.8461,0.7934,0.8398,0.9114,0.7417,0.5164,0.8601,0.4858,0.6923,0.7834,0.8457,0.83,0.7719,0.6717,0.7709,0.8427,0.78,0.7634
,Random Forest_Avg,0.8997,0.9057,0.824,0.5935,0.2433,0.86,0.8133,0.9333,0.875,0.8076,0.766,0.8843,0.9317,0.7347,0.715,0.844,0.3733,0.675,0.7131,0.8857,0.7142,0.8187,0.725,0.8246,0.804,0.9417,0.7718
