Fold,Model,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,Fold_Model_Avg,i
2,KNN,1.0,0.75,0.75,0.8571,1.0,0.0,1.0,1.0,0.8571,0.6154,0.5,0.6,0.5714,0.3333,0.75,1.0,0.8333,0.6667,0.75,0.3333,0.8182,0.8571,0.8182,0.3333,1.0,0.7198,
2,Gradient Boosting,0.6667,0.75,0.75,0.8571,1.0,0.0,0.0,0.8333,0.8571,0.6154,1.0,0.6,0.5714,0.3333,0.75,0.8,0.6667,0.3333,0.5,0.1667,0.6364,0.7143,0.8182,0.6667,1.0,0.6355,
2,MLP Neural Network,0.8333,0.25,0.75,0.8571,1.0,1.0,1.0,1.0,0.8571,0.6923,0.0,0.8,0.5714,0.3333,0.625,0.6,0.8333,0.8333,0.75,0.5,0.9091,1.0,1.0,0.5,1.0,0.7398,
2,MLP (PyTorch),0.6667,0.5,0.75,0.8571,1.0,0.0,0.5,1.0,0.8571,0.6154,0.5,0.6,0.8571,0.3333,0.625,0.8,1.0,0.5,0.5,0.0,0.9091,0.8571,0.9091,0.3333,1.0,0.6588,
2,CNN (PyTorch),0.6667,0.5,0.5,0.7143,1.0,0.0,1.0,1.0,0.8571,0.7692,1.0,0.8,0.8571,0.3333,0.625,1.0,0.8333,0.5,0.5,0.0,0.9091,0.8571,0.9091,0.5,1.0,0.7053,
2,Fold_2_Avg,0.7778,0.5833,0.75,0.8095,1.0,0.1111,0.7222,0.9074,0.873,0.6154,0.7778,0.6889,0.6984,0.3333,0.7083,0.8444,0.8148,0.5556,0.5556,0.1667,0.7374,0.7619,0.8485,0.4074,1.0,0.6819,
3,SVM,0.3333,0.7778,0.6,1.0,1.0,1.0,0.8571,0.8333,0.75,0.75,1.0,0.9,1.0,0.6667,0.75,0.875,0.5,0.7692,0.3333,0.2857,0.5,1.0,0.5,0.0,0.5,0.6724,0.0
3,Decision Tree,0.3333,0.7778,0.8,0.8,0.0,1.0,0.5714,0.8333,0.5,0.375,1.0,0.7,0.0,0.3333,0.625,1.0,0.375,0.8462,0.0,0.4286,0.75,0.8,0.3333,0.0,0.5,0.5262,0.0
3,Random Forest,0.6667,0.7778,0.8,1.0,1.0,1.0,0.8571,0.8333,0.75,0.625,0.8,1.0,0.0,1.0,0.75,0.875,0.75,0.6923,0.0,0.5714,0.75,1.0,0.5,0.5,1.0,0.7115,0.0
3,Logistic Regression,0.8333,0.7778,0.8,1.0,0.0,1.0,0.5714,0.8333,1.0,0.75,1.0,0.9,1.0,0.3333,0.625,0.875,0.5,0.6923,0.3333,0.4286,0.5,1.0,0.5,0.0,0.5,0.6444,0.0
3,KNN,0.5,0.5556,1.0,0.8,1.0,1.0,0.7143,0.8333,0.75,0.75,0.8,0.9,0.0,0.6667,0.875,0.875,0.5,0.7692,0.3333,0.4286,0.75,0.8,0.3333,0.0,0.5,0.6321,0.0
3,Gradient Boosting,0.5,0.7778,0.8,1.0,1.0,1.0,0.5714,0.6667,0.5,0.75,1.0,0.7,0.0,1.0,0.625,0.875,0.625,0.7692,0.0,0.2857,0.75,0.8,0.3333,0.0,1.0,0.6280,0.0
3,MLP Neural Network,0.5,0.5556,0.6,0.8,0.0,1.0,0.4286,0.8333,0.75,0.75,0.8,0.8,0.0,1.0,0.625,0.875,0.625,0.6923,0.3333,0.4286,0.75,1.0,0.6667,0.5,1.0,0.6274,0.0
3,MLP (PyTorch),0.6667,0.6667,0.8,0.8,1.0,1.0,0.8571,0.8333,0.75,0.75,1.0,0.9,1.0,0.3333,0.75,0.875,0.5,0.6923,0.3333,0.4286,0.75,1.0,0.5,0.0,1.0,0.6995,0.0
3,CNN (PyTorch),0.8333,0.6667,0.8,0.8,1.0,1.0,0.8571,0.8333,1.0,0.75,1.0,0.9,1.0,0.3333,0.75,0.875,0.625,0.8462,0.3333,0.5714,0.75,1.0,0.5,0.0,1.0,0.7317,0.0
3,Fold_3_Avg,0.5741,0.7037,0.7778,0.8889,0.6667,1.0,0.6984,0.8148,0.75,0.6944,0.9333,0.8556,0.4444,0.6296,0.7083,0.8889,0.5556,0.7521,0.2222,0.4286,0.6944,0.9333,0.463,0.1111,0.7778,0.6526,0.0
4,SVM,0.8,0.875,0.6,1.0,0.8182,0.75,1.0,1.0,1.0,0.8,0.75,0.7143,1.0,0.4286,1.0,0.7143,0.5714,0.5,0.4,0.5,0.5,0.8,0.8,0.4,0.0,0.7089,
4,Decision Tree,0.6,0.875,0.6,0.8333,0.6364,0.5,0.4286,0.5,0.4,0.6,0.625,0.7143,0.2857,0.5714,0.8,0.4286,0.4286,0.5,0.4,0.5,0.25,0.4,0.6,0.8,0.0,0.5311,
4,Random Forest,0.8,0.875,0.8,1.0,0.7273,0.75,1.0,1.0,0.8,0.8,0.75,0.8571,0.8571,0.5714,1.0,0.7143,0.5714,0.5,0.6,1.0,0.5,1.0,0.8,0.6,0.0,0.7549,
4,Logistic Regression,0.4,0.875,0.8,0.8333,0.8182,0.5,1.0,1.0,0.8,0.8,0.75,0.7143,0.7143,0.5714,1.0,0.7143,0.7143,0.5,0.4,0.5,0.5,1.0,0.8,0.6,0.0,0.6922,
4,KNN,1.0,1.0,0.8,1.0,0.8182,0.5,0.8571,1.0,1.0,0.8,0.75,0.5714,0.7143,0.5714,1.0,0.7143,0.7143,0.5,0.4,0.5,0.5,0.8,0.6,0.4,0.0,0.7004,
4,Gradient Boosting,0.6,0.875,0.8,0.8333,0.7273,0.5,0.4286,1.0,0.6,0.8,0.625,0.7143,0.4286,0.4286,0.8,0.7143,0.5714,0.5,0.6,1.0,0.25,0.8,0.8,0.6,0.0,0.6399,
4,MLP Neural Network,0.6,0.875,0.8,0.8333,0.7273,0.75,0.8571,1.0,0.8,0.8,0.75,0.8571,0.5714,0.7143,0.8,0.7143,0.7143,0.75,0.6,0.5,0.5,1.0,0.8,0.6,0.0,0.7166,
4,MLP (PyTorch),1.0,1.0,0.8,1.0,0.9091,0.25,0.8571,1.0,0.8,0.7,0.75,0.7143,0.5714,0.7143,0.8,0.7143,0.7143,0.5,0.4,0.5,0.5,1.0,0.6,0.6,0.0,0.6958,
4,CNN (PyTorch),0.6,1.0,0.8,1.0,0.9091,0.5,1.0,1.0,0.8,0.8,0.875,0.8571,1.0,0.7143,1.0,0.7143,0.7143,0.5,0.4,0.5,0.5,1.0,0.8,0.8,1.0,0.7914,
4,Fold_4_Avg,0.7111,0.9167,0.7556,0.9259,0.7879,0.5556,0.8254,0.9444,0.7778,0.7667,0.7361,0.746,0.6825,0.5873,0.9111,0.6826,0.6349,0.5278,0.4667,0.6111,0.4444,0.8667,0.7333,0.6,0.1111,0.6923,
5,SVM,0.5455,0.7143,0.7143,0.6,0.7143,1.0,0.5,1.0,0.8889,0.6,1.0,0.75,1.0,0.0,1.0,0.7778,1.0,0.5,0.5,0.6,0.8333,0.8,0.6667,0.7273,0.8333,0.7306,
5,Decision Tree,0.3636,0.5714,0.5714,0.6,0.4286,0.5,0.25,1.0,0.7778,0.4,0.6667,0.25,0.0,1.0,0.7143,0.6667,0.6667,0.5,0.5,0.6,0.8333,0.4,0.4167,0.3636,1.0,0.5616,
5,Random Forest,0.7273,0.7143,0.8571,0.8,0.7143,1.0,0.5,1.0,0.8889,0.6,0.6667,0.75,0.0,1.0,1.0,0.8889,1.0,0.5,0.5,0.8,0.8333,0.8,0.5833,0.6364,1.0,0.7504,
5,Logistic Regression,0.5455,0.5714,1.0,0.6,0.7143,0.5,0.5,1.0,0.8889,0.6,1.0,0.5,1.0,1.0,1.0,0.7778,1.0,0.5,0.5,0.4,0.8333,0.8,0.75,0.6364,1.0,0.7447,
5,KNN,0.6364,0.5714,0.8571,1.0,0.7143,1.0,0.5,1.0,0.8889,0.6,1.0,0.5,0.0,1.0,1.0,0.6667,1.0,1.0,0.5,0.8,0.6667,0.6,0.5833,0.6364,0.8333,0.7422,
5,Gradient Boosting,0.3636,0.7143,0.7143,0.6,0.5714,1.0,0.5,1.0,0.8889,0.6,0.6667,0.75,0.0,1.0,0.8571,0.7778,1.0,0.5,0.0,0.4,0.8333,0.8,0.5,0.5455,0.6667,0.6500,
5,MLP Neural Network,0.6364,0.7143,1.0,0.6,0.7143,0.5,0.25,1.0,0.8889,0.4,1.0,0.5,0.0,1.0,1.0,0.7778,1.0,0.5,0.5,0.4,0.8333,0.8,0.5,0.4545,1.0,0.6788,
5,MLP (PyTorch),0.6364,0.7143,0.8571,1.0,0.8571,1.0,0.5,1.0,0.8889,0.8,1.0,1.0,1.0,0.0,1.0,0.7778,1.0,1.0,0.5,0.6,0.8333,0.8,0.5833,0.7273,1.0,0.8030,
5,CNN (PyTorch),0.7273,0.8571,0.8571,0.6,0.7143,1.0,0.5,1.0,0.8889,0.6,1.0,0.75,0.0,1.0,1.0,0.7778,1.0,1.0,0.5,0.6,0.8333,0.8,0.6667,0.7273,1.0,0.7760,
5,Fold_5_Avg,0.5758,0.6825,0.8254,0.7111,0.6825,0.8333,0.4444,1.0,0.8766,0.5778,0.8889,0.6389,0.3333,0.7778,0.9524,0.7655,0.963,0.6667,0.4444,0.5778,0.8148,0.7333,0.5833,0.6061,0.9259,0.7153,
6,SVM,0.7692,0.5,0.2,0.7143,1.0,0.6,1.0,,0.8571,1.0,1.0,0.9231,0.6667,0.6,0.8,0.75,1.0,0.8571,1.0,0.4,1.0,0.7273,0.8889,0.5,1.0,0.7501,0.0
6,Decision Tree,0.6154,0.5,0.8,0.2857,0.5,0.4,0.0,,0.8571,0.8,0.5,0.5385,0.5,0.2,0.6,0.75,0.5,0.0,1.0,0.4,0.5714,0.6364,0.4444,0.5,1.0,0.5160,0.0
6,Random Forest,0.7692,0.5,0.6,0.8571,1.0,0.6,1.0,,0.8571,0.8,0.75,0.9231,0.5,0.6,0.8,0.75,0.5,0.7143,1.0,0.6,0.8571,0.8182,0.7778,0.5,1.0,0.7230,0.0
6,Logistic Regression,0.6923,0.5,0.4,0.7143,1.0,0.8,1.0,,0.8571,1.0,0.75,0.9231,0.3333,0.6,0.8,0.75,0.75,0.7143,1.0,0.6,0.8571,0.5455,0.8889,0.5,1.0,0.7190,0.0
6,KNN,0.8462,0.5,0.6,0.8571,0.5,0.6,1.0,,0.7143,0.6,1.0,0.9231,0.6667,0.6,0.8,0.75,0.5,0.4286,1.0,0.4,0.8571,0.8182,0.7778,0.5,1.0,0.6896,0.0
6,Gradient Boosting,0.7692,0.5,0.6,0.5714,0.5,0.8,0.0,,0.8571,1.0,0.75,0.9231,0.5,0.6,0.8,0.75,0.5,0.8571,1.0,0.6,1.0,0.6364,0.5556,0.5,1.0,0.6628,0.0
6,MLP Neural Network,0.8462,0.5,0.6,0.4286,0.5,0.6,1.0,,0.8571,0.8,0.75,0.9231,0.5,0.6,0.9,0.75,0.5,0.5714,1.0,0.4,0.8571,0.6364,0.8889,0.5,1.0,0.6764,0.0
6,MLP (PyTorch),0.9231,0.25,0.8,0.8571,1.0,1.0,1.0,,0.8571,1.0,1.0,0.9231,0.3333,0.6,0.9,0.75,1.0,0.7143,1.0,0.4,0.8571,0.7273,0.7778,0.5,1.0,0.7935,0.6667
6,CNN (PyTorch),0.7692,0.5,0.4,0.8571,1.0,1.0,1.0,,0.8571,1.0,1.0,1.0,0.5,0.6,0.9,0.75,1.0,0.7143,1.0,0.6,1.0,0.7273,0.8889,0.5,1.0,0.7959,0.3333
6,Fold_6_Avg,0.7778,0.4722,0.5556,0.6825,0.7778,0.7111,0.7778,,0.8412,0.8889,0.8333,0.8889,0.5,0.5556,0.8111,0.75,0.6944,0.619,1.0,0.4889,0.873,0.697,0.7654,0.5,1.0,0.7029,0.1111
7,SVM,0.8333,0.8182,0.5,0.7273,0.7778,0.3333,0.6667,,0.75,1.0,0.6667,0.8,1.0,0.5,1.0,1.0,1.0,0.8,0.5,0.7143,0.3333,0.875,0.8571,0.7143,1.0,0.7267,0.0
7,Decision Tree,0.3333,0.6364,0.0,0.8182,0.4444,0.3333,0.6667,,0.75,1.0,0.6667,0.4,0.75,0.5,1.0,0.6,0.8,0.4,0.5,0.5714,0.4444,0.375,0.7143,0.5714,0.5,0.5510,0.0
7,Random Forest,0.5833,0.7273,0.5,0.8182,0.7778,0.3333,0.6667,,1.0,1.0,0.6667,0.8,1.0,0.6,1.0,1.0,0.8,0.6,1.0,0.5714,0.4444,1.0,0.8571,1.0,1.0,0.7498,0.0
7,Logistic Regression,0.8333,0.6364,0.5,0.5455,0.6667,0.3333,0.6667,,0.75,1.0,0.6667,0.8,1.0,0.7,1.0,0.8,0.8,0.6,0.5,0.5714,0.4444,0.875,0.8571,0.8571,1.0,0.7361,1.0
7,KNN,0.75,0.7273,0.5,0.8182,0.7778,0.3333,0.6667,,0.75,1.0,0.6667,0.6,1.0,0.7,1.0,1.0,1.0,0.6,1.0,0.4286,0.5556,0.875,0.7143,0.8571,1.0,0.7328,0.0
7,Gradient Boosting,0.8333,0.6364,0.5,0.8182,0.6667,0.6667,0.6667,,1.0,1.0,0.6667,0.8,1.0,0.6,1.0,1.0,0.6,0.6,0.5,0.5714,0.4444,0.75,0.7143,0.4286,0.0,0.6585,0.0
7,MLP Neural Network,0.8333,0.9091,0.5,0.7273,0.6667,0.3333,0.6667,,1.0,1.0,1.0,0.6,0.5,0.6,1.0,0.6,1.0,0.6,1.0,0.4286,0.5556,1.0,0.7143,0.7143,1.0,0.7580,1.0
7,MLP (PyTorch),0.9167,1.0,1.0,0.8182,0.7778,0.3333,0.6667,,1.0,1.0,1.0,0.8,1.0,0.7,1.0,1.0,1.0,0.6,0.5,1.0,0.4444,0.875,0.7143,0.8571,1.0,0.8401,1.0
7,CNN (PyTorch),0.9167,0.8182,0.5,0.9091,0.6667,0.3333,0.6667,,1.0,1.0,1.0,0.8,1.0,0.8,1.0,0.8,1.0,0.6,0.5,0.8571,0.5556,1.0,1.0,0.8571,1.0,0.8232,1.0
7,Fold_7_Avg,0.7592,0.7677,0.5,0.7778,0.6914,0.3703,0.6667,,0.8889,1.0,0.7778,0.7111,0.9167,0.6333,1.0,0.8667,0.8889,0.6,0.6667,0.6349,0.4691,0.8472,0.7936,0.7619,0.8333,0.7307,0.4444
8,SVM,0.8571,0.6,1.0,0.7273,0.4,0.5,0.8333,1.0,0.8571,0.6,1.0,0.75,1.0,0.5,0.6667,0.7273,1.0,0.5556,0.25,0.8,0.4286,1.0,0.8,0.5714,1.0,0.7086,0.0
8,Decision Tree,0.7143,0.2,0.0,0.6364,0.2,0.5,0.1667,1.0,0.4286,0.4,1.0,0.625,0.0,0.6667,0.6667,0.7273,1.0,0.3333,0.25,0.8,0.2857,0.7143,0.2,0.7143,0.6667,0.4960,0.0
8,Random Forest,0.8571,0.8,1.0,0.8182,0.4,0.8333,0.8333,1.0,1.0,0.8,1.0,0.75,1.0,0.3333,0.6667,0.8182,1.0,0.5556,0.5,0.8,0.5714,1.0,0.6,0.5714,1.0,0.7503,0.0
8,Logistic Regression,0.7143,0.6,1.0,0.9091,0.4,1.0,0.5,1.0,0.8571,0.8,1.0,0.625,0.0,0.1667,1.0,0.8182,0.8,0.5556,0.25,0.8,0.7143,0.8571,0.6,0.5714,1.0,0.6746,0.0
8,KNN,0.8571,0.6,1.0,0.7273,0.4,0.5,0.8333,1.0,0.8571,0.6,1.0,0.875,1.0,0.8333,0.3333,0.8182,1.0,0.6667,0.5,0.6,0.2857,1.0,0.6,0.4286,1.0,0.7044,0.0
8,Gradient Boosting,0.8571,0.6,1.0,0.7273,0.4,1.0,0.5,1.0,0.8571,0.6,1.0,0.75,0.0,0.5,0.6667,0.6364,1.0,0.5556,0.5,0.8,0.7143,0.8571,0.4,0.4286,1.0,0.6673,0.0
8,MLP Neural Network,0.8571,0.6,1.0,0.7273,0.4,1.0,0.6667,1.0,0.8571,0.8,1.0,0.75,1.0,0.6667,1.0,0.8182,1.0,0.6667,0.25,0.8,0.2857,0.8571,0.8,0.5714,1.0,0.7452,0.0
8,MLP (PyTorch),0.8571,0.6,1.0,0.9091,0.4,1.0,0.8333,1.0,0.8571,1.0,1.0,0.75,1.0,0.6667,0.6667,0.7273,1.0,0.6667,0.5,0.8,0.5714,1.0,0.6,0.5714,1.0,0.7812,0.3333
8,CNN (PyTorch),0.8571,0.4,1.0,0.9091,0.6,1.0,0.6667,1.0,0.8571,1.0,1.0,1.0,0.0,0.8333,0.6667,1.0,1.0,0.6667,0.25,0.6,0.7143,1.0,0.8,0.7143,1.0,0.7514,0.0
8,Fold_8_Avg,0.8254,0.5556,0.8889,0.7879,0.4,0.8148,0.6481,1.0,0.8254,0.7333,1.0,0.7639,0.5556,0.5741,0.7037,0.7879,0.9778,0.5803,0.3611,0.7556,0.5079,0.9206,0.6,0.5714,0.963,0.6977,0.037
9,SVM,1.0,1.0,0.5,0.8182,0.75,1.0,1.0,1.0,0.75,0.4286,1.0,0.875,1.0,0.3333,0.5,0.75,0.6667,0.8571,0.3333,0.75,0.3333,1.0,0.9,0.0,1.0,0.7418,
9,Decision Tree,0.375,0.75,0.5,0.7273,0.75,0.0,0.0,0.6667,0.75,0.5714,0.6667,0.375,0.8571,0.5,0.5,0.625,0.3333,0.5714,0.0,0.75,0.3333,0.8333,0.7,0.0,0.3333,0.4988,
9,Random Forest,1.0,0.875,1.0,0.8182,0.75,0.6667,1.0,1.0,0.75,0.5714,1.0,0.75,1.0,0.5,0.3333,0.75,0.6667,0.8571,0.3333,0.75,0.3333,1.0,0.9,0.0,1.0,0.7442,
9,Logistic Regression,1.0,0.75,0.8333,0.6364,1.0,1.0,0.5,0.8333,0.75,0.5714,1.0,0.75,0.8571,0.5,0.5,0.75,0.3333,1.0,0.3333,0.75,0.3333,1.0,0.8,0.5,1.0,0.7313,
9,KNN,1.0,0.875,0.6667,0.8182,1.0,1.0,1.0,1.0,0.75,0.5714,0.6667,0.875,1.0,0.5,0.5,0.75,0.3333,1.0,0.6667,0.75,0.3333,1.0,0.9,1.0,1.0,0.7983,
9,Gradient Boosting,0.5,0.875,0.8333,0.8182,0.75,0.6667,0.5,0.8333,0.625,0.5714,0.6667,0.875,0.7143,0.5,0.3333,0.75,0.3333,1.0,0.3333,0.75,0.0,1.0,0.8,0.0,1.0,0.6412,
9,MLP Neural Network,1.0,0.875,0.8333,0.8182,0.75,1.0,1.0,0.8333,0.75,0.5714,1.0,0.625,0.7143,0.6667,0.5,0.625,0.3333,0.8571,0.6667,0.75,0.0,1.0,0.8,0.5,1.0,0.7388,
9,MLP (PyTorch),1.0,1.0,1.0,0.7273,1.0,1.0,1.0,1.0,1.0,0.5714,1.0,1.0,0.8571,0.5,0.5,0.875,1.0,0.8571,0.6667,0.75,0.6667,1.0,0.8,0.5,1.0,0.8509,
9,CNN (PyTorch),1.0,1.0,0.6667,0.9091,0.75,1.0,0.0,1.0,1.0,0.7143,1.0,1.0,0.8571,0.8333,0.6667,0.875,1.0,1.0,0.6667,0.75,1.0,1.0,0.8,0.5,1.0,0.8396,
9,Fold_9_Avg,0.875,0.8889,0.7593,0.7879,0.8333,0.8148,0.6667,0.9074,0.7917,0.5714,0.8889,0.7917,0.873,0.537,0.4815,0.75,0.5555,0.8889,0.4444,0.75,0.3704,0.9815,0.8222,0.3333,0.9259,0.7316,
10,SVM,0.875,0.625,0.4286,1.0,0.7143,0.8,0.3333,1.0,0.8333,0.4286,1.0,0.8,1.0,1.0,0.8333,1.0,1.0,0.4,0.0,0.7143,0.5,1.0,1.0,0.6667,1.0,0.7581,
10,Decision Tree,0.5,0.5,0.4286,0.8,0.7143,0.4,0.3333,0.8333,0.5,0.4286,1.0,0.4,0.75,0.0,0.3333,0.4,1.0,0.2,0.0,0.4286,0.5,0.75,0.625,0.3333,0.6667,0.5130,
10,Random Forest,0.875,0.875,0.5714,1.0,0.7143,0.4,0.3333,1.0,0.8333,0.7143,1.0,0.8,1.0,0.0,0.5,1.0,1.0,0.2,0.0,0.7143,0.5714,1.0,0.75,1.0,1.0,0.7141,
10,Logistic Regression,0.75,1.0,0.5714,1.0,0.7143,1.0,0.3333,1.0,0.8333,0.7143,1.0,0.8,0.75,0.0,0.6667,1.0,0.75,0.4,0.0,0.7143,0.5714,1.0,0.875,0.8333,1.0,0.7311,
10,KNN,0.75,0.75,0.5714,1.0,0.8571,0.8,0.3333,1.0,0.8333,0.4286,1.0,0.8,0.75,0.0,0.6667,1.0,1.0,0.4,0.25,0.7143,0.4286,1.0,0.625,0.6667,1.0,0.7050,
10,Gradient Boosting,0.625,0.75,0.4286,1.0,0.5714,0.4,0.3333,1.0,0.6667,0.5714,1.0,0.8,0.75,0.0,0.8333,0.8,1.0,0.4,0.0,0.7143,0.5714,1.0,0.875,0.6667,0.6667,0.6570,
10,MLP Neural Network,0.75,0.875,0.7143,0.8,0.7143,1.0,0.3333,1.0,0.8333,0.7143,1.0,0.8,0.75,0.0,0.3333,1.0,1.0,0.2,0.0,0.8571,0.5714,1.0,0.5,0.8333,1.0,0.7032,
10,MLP (PyTorch),1.0,0.875,0.5714,1.0,0.7143,1.0,0.3333,1.0,0.8333,0.7143,1.0,0.8,1.0,1.0,0.8333,1.0,1.0,0.4,0.0,1.0,0.5714,1.0,0.75,0.8333,1.0,0.8092,
10,CNN (PyTorch),0.875,0.875,1.0,1.0,0.8571,1.0,0.3333,1.0,0.8333,0.8571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.0,1.0,0.5714,1.0,0.75,1.0,1.0,0.8621,
10,Fold_10_Avg,0.7778,0.7917,0.5873,0.9556,0.7302,0.7556,0.3333,0.9815,0.7778,0.6191,1.0,0.7778,0.8611,0.3333,0.6667,0.9111,0.9722,0.3556,0.0278,0.7619,0.5397,0.9722,0.75,0.7593,0.9259,0.7170,
,CNN (PyTorch)_Avg,0.8245,0.7617,0.719,0.8699,0.8164,0.7333,0.7024,0.9792,0.9094,0.8291,0.9375,0.9107,0.7014,0.6698,0.8275,0.8506,0.9173,0.7327,0.465,0.6193,0.7389,0.9134,0.7615,0.6432,1.0,0.7849,0.3333
,Decision Tree_Avg,0.5335,0.6561,0.5117,0.709,0.5229,0.3633,0.3167,0.8125,0.6535,0.5914,0.7625,0.5003,0.4171,0.4355,0.6295,0.624,0.577,0.4084,0.365,0.5502,0.4776,0.6088,0.507,0.4116,0.6333,0.5325,0.0
,Gradient Boosting_Avg,0.6715,0.7478,0.7093,0.8226,0.6965,0.6033,0.425,0.9167,0.7852,0.7308,0.7875,0.7912,0.4764,0.5212,0.7443,0.7889,0.6296,0.6315,0.3933,0.6002,0.5978,0.7983,0.6496,0.4169,0.7333,0.6542,0.0
,KNN_Avg,0.834,0.7329,0.7412,0.8878,0.7956,0.6233,0.7655,0.9792,0.8401,0.6965,0.7883,0.7444,0.6502,0.5455,0.7481,0.836,0.7881,0.6831,0.64,0.5669,0.5751,0.875,0.6652,0.5322,0.8333,0.7215,0.0
,Logistic Regression_Avg,0.7269,0.6961,0.7321,0.7953,0.698,0.7133,0.6821,0.9583,0.8594,0.7574,0.8667,0.7812,0.7112,0.4455,0.8008,0.8271,0.7314,0.6362,0.4317,0.5479,0.6016,0.8524,0.7589,0.5498,0.85,0.7115,0.25
,MLP (PyTorch)_Avg,0.8667,0.7606,0.8578,0.8969,0.8325,0.7083,0.7048,0.9792,0.8844,0.7751,0.875,0.8487,0.8219,0.5098,0.7408,0.8305,0.8714,0.673,0.49,0.6193,0.6548,0.8759,0.6834,0.5422,0.9,0.7624,0.5
,MLP Neural Network_Avg,0.7856,0.7154,0.7464,0.7467,0.6362,0.7683,0.7202,0.9583,0.8308,0.7328,0.78,0.7655,0.5207,0.5831,0.7561,0.7689,0.7506,0.6371,0.56,0.5779,0.5929,0.9294,0.737,0.5674,0.8667,0.7122,0.25
,Random Forest_Avg,0.8279,0.7894,0.7795,0.8987,0.775,0.6083,0.819,0.9375,0.8736,0.7526,0.8133,0.803,0.6671,0.5188,0.7606,0.8654,0.7288,0.5986,0.4933,0.6688,0.6053,0.9082,0.7286,0.5474,0.9,0.7334,0.0
