Fold,Model,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,Fold_Model_Avg,i
2,SVM,0.8333,0.5,0.75,1.0,1.0,0.0,0.5,0.6667,0.8571,0.5385,1.0,0.8,0.4286,0.3333,0.75,0.8,1.0,0.6667,0.0,0.1667,0.3636,0.7143,0.5455,0.1667,0.0,0.5752,
2,Decision Tree,0.8333,0.5,1.0,1.0,0.3333,1.0,0.5,0.5,0.5714,0.6154,0.5,0.4,0.5714,0.3333,0.625,1.0,0.6667,0.3333,0.0,0.0,0.0909,0.5714,0.1818,0.1667,0.0,0.4918,
2,Random Forest,0.8333,0.5,1.0,1.0,1.0,1.0,0.5,0.6667,0.7143,0.6154,1.0,0.4,0.7143,0.3333,0.875,0.8,1.0,0.5,0.0,0.0,0.3636,0.5714,0.5455,0.1667,0.0,0.6040,
2,Logistic Regression,0.6667,0.5,0.75,1.0,0.6667,0.0,0.5,0.5,0.8571,0.5385,0.5,0.0,0.8571,0.6667,0.75,0.8,0.6667,0.3333,0.0,0.0,0.2727,0.7143,0.3636,0.1667,0.0,0.4828,
2,KNN,1.0,1.0,0.75,1.0,1.0,0.0,0.5,0.3333,0.7143,0.6154,1.0,0.8,0.7143,0.6667,0.875,0.8,0.8333,0.1667,0.0,0.3333,0.3636,0.7143,0.3636,0.1667,0.0,0.5884,
2,Gradient Boosting,0.5,0.5,0.75,1.0,1.0,0.0,0.5,0.5,0.4286,0.6923,1.0,0.4,0.5714,0.3333,0.75,0.8,0.8333,0.5,0.25,0.0,0.2727,0.7143,0.4545,0.3333,0.5,0.5433,
2,MLP Neural Network,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.8333,0.7143,0.7692,0.5,0.6,0.5714,0.3333,0.75,0.8,0.5,0.3333,0.0,0.1667,0.4545,0.5714,0.4545,0.3333,0.0,0.5774,
2,MLP (PyTorch),0.5,0.5,1.0,1.0,0.6667,0.0,0.5,0.5,0.8571,0.7692,1.0,0.4,0.8571,0.3333,0.625,1.0,0.6667,0.3333,0.0,0.0,0.2727,0.7143,0.1818,0.3333,0.0,0.5204,
2,CNN (PyTorch),0.8333,0.5,1.0,1.0,0.6667,0.0,0.0,0.8333,0.5714,0.5385,0.5,0.6,0.8571,0.6667,0.75,0.8,1.0,0.1667,0.0,0.0,0.2727,0.7143,0.8182,0.3333,0.0,0.5369,
2,Fold_2_Avg,0.7222,0.5278,0.8889,1.0,0.8148,0.3333,0.5,0.5926,0.6984,0.6325,0.7778,0.4889,0.6825,0.4444,0.75,0.8444,0.7963,0.3704,0.0278,0.0741,0.303,0.6667,0.4343,0.2407,0.0556,0.5467,
3,SVM,0.8333,0.8889,0.8,1.0,1.0,0.6667,0.4286,0.3333,0.5,0.75,1.0,0.7,0.0,0.3333,0.75,0.875,0.875,0.5385,0.0,0.1429,0.5,0.6,0.1667,0.5,1.0,0.5839,0.0
3,Decision Tree,0.6667,0.8889,0.6,1.0,0.0,0.3333,0.4286,0.5,0.5,0.5,0.6,0.3,0.0,0.3333,0.5,0.625,0.625,0.2308,0.0,0.4286,0.25,0.8,0.1667,0.25,0.5,0.4241,0.0
3,Random Forest,0.6667,1.0,0.8,1.0,1.0,0.6667,0.5714,0.5,0.5,0.625,1.0,0.7,0.0,0.3333,0.75,0.875,0.875,0.5385,0.0,0.2857,0.5,0.6,0.0,0.75,1.0,0.5976,0.0
3,Logistic Regression,0.6667,0.8889,0.8,1.0,1.0,0.6667,0.2857,0.3333,0.25,0.75,1.0,0.6,0.0,0.3333,0.875,0.875,0.875,0.5385,0.0,0.2857,0.75,0.6,0.0,0.5,0.0,0.5336,0.0
3,KNN,0.8333,0.8889,0.6,1.0,1.0,0.6667,0.5714,0.5,0.5,0.75,1.0,0.5,0.0,0.3333,0.625,0.875,0.75,0.5385,0.0,0.2857,0.5,0.6,0.0,0.25,1.0,0.5603,0.0
3,Gradient Boosting,0.6667,1.0,0.8,0.8,0.0,0.3333,0.5714,0.5,0.25,0.75,0.6,0.8,1.0,0.3333,0.75,0.875,0.75,0.4615,0.0,0.2857,0.5,0.6,0.0,0.5,0.5,0.5241,0.0
3,MLP Neural Network,0.5,1.0,0.8,1.0,1.0,0.6667,0.4286,0.5,0.5,0.625,1.0,0.6,0.0,0.0,0.75,0.875,1.0,0.6154,0.0,0.4286,0.75,0.4,0.5,0.25,1.0,0.5842,0.0
3,MLP (PyTorch),0.8333,0.8889,0.8,1.0,1.0,0.6667,0.4286,0.5,0.25,0.625,1.0,0.8,0.0,0.3333,0.75,0.875,0.875,0.5385,0.0,0.0,0.5,0.8,0.1667,0.5,1.0,0.5820,0.0
3,CNN (PyTorch),0.5,0.8889,1.0,1.0,1.0,0.6667,0.2857,0.6667,0.25,0.75,1.0,0.5,0.0,0.3333,0.75,0.875,0.875,0.3846,0.3333,0.2857,0.5,0.6,0.5,0.25,1.0,0.5844,0.0
3,Fold_3_Avg,0.6852,0.9259,0.7778,0.9778,0.7778,0.5926,0.4444,0.4815,0.3889,0.6806,0.9111,0.6111,0.1111,0.2963,0.7222,0.8472,0.8333,0.4872,0.037,0.2698,0.5278,0.6222,0.1667,0.4167,0.7778,0.5527,0.0
4,SVM,0.8,1.0,0.2,1.0,0.9091,0.5,0.5714,0.5,1.0,0.5,0.875,0.5714,0.5714,0.4286,0.8,0.5714,0.5714,0.5,0.0,0.0,0.5,0.6,0.4,0.2,1.0,0.5828,
4,Decision Tree,0.4,0.875,0.8,0.5,0.7273,0.5,0.2857,0.0,0.4,0.5,0.5,0.4286,0.5714,0.5714,1.0,0.4286,0.2857,0.5,0.2,0.0,0.25,0.8,0.0,0.2,1.0,0.4689,
4,Random Forest,0.6,1.0,0.2,1.0,1.0,0.5,0.8571,0.5,1.0,0.5,1.0,0.5714,0.5714,0.5714,0.8,0.7143,0.5714,0.75,0.0,0.0,0.5,0.6,0.2,0.2,1.0,0.6083,
4,Logistic Regression,0.6,1.0,0.4,1.0,0.8182,0.5,0.5714,0.5,0.8,0.7,1.0,0.1429,0.8571,0.5714,0.8,0.7143,0.5714,0.25,0.0,0.0,0.5,0.6,0.2,0.0,0.0,0.5239,
4,KNN,0.6,1.0,1.0,1.0,1.0,0.5,0.8571,0.0,1.0,0.4,1.0,0.4286,0.5714,0.7143,0.8,0.4286,0.5714,0.0,0.0,0.0,0.5,0.6,0.2,0.4,1.0,0.5829,
4,Gradient Boosting,0.6,1.0,0.2,0.8333,0.7273,0.5,0.1429,0.5,0.8,0.5,0.75,0.8571,0.5714,0.5714,0.8,0.4286,0.2857,0.0,0.2,0.0,0.5,0.4,0.4,0.4,1.0,0.5187,
4,MLP Neural Network,0.4,1.0,0.8,1.0,1.0,0.5,0.2857,0.5,0.6,0.6,0.75,0.5714,0.5714,0.7143,0.8,0.7143,0.4286,0.25,0.0,0.0,1.0,0.6,0.6,0.8,1.0,0.6194,
4,MLP (PyTorch),0.6,0.875,0.4,1.0,0.8182,0.5,0.4286,0.5,0.8,0.5,1.0,0.5714,0.7143,0.5714,0.8,0.7143,0.5714,0.5,0.0,0.0,0.5,0.6,0.2,0.0,0.0,0.5266,
4,CNN (PyTorch),0.8,0.75,0.6,1.0,1.0,0.5,0.4286,0.5,1.0,0.4,0.75,0.5714,0.7143,0.5714,0.8,0.7143,0.4286,0.5,0.2,0.0,0.75,0.4,0.2,0.0,1.0,0.5831,
4,Fold_4_Avg,0.6,0.9444,0.5111,0.9259,0.8889,0.5,0.4921,0.3889,0.8222,0.5111,0.8472,0.5238,0.6349,0.5873,0.8222,0.6032,0.4762,0.3611,0.0667,0.0,0.5556,0.5778,0.2667,0.2444,0.7778,0.5572,
5,SVM,0.8182,0.5714,0.4286,0.8,0.4286,1.0,0.25,0.5,0.7778,0.4,1.0,0.5,0.0,1.0,0.8571,0.8889,0.6667,0.5,0.0,0.8,0.6667,0.6,0.25,0.4545,0.1667,0.5730,
5,Decision Tree,0.3636,0.5714,0.4286,0.6,0.5714,0.0,0.5,0.625,0.5556,0.4,0.6667,0.5,0.0,0.0,0.8571,0.7778,0.6667,0.0,0.0,0.2,0.5,0.4,0.4167,0.1818,0.0,0.3913,
5,Random Forest,0.6364,0.8571,0.4286,0.6,0.7143,1.0,0.5,0.625,0.6667,0.2,1.0,0.5,0.0,1.0,0.8571,0.8889,0.6667,0.5,0.0,0.8,0.5,0.6,0.3333,0.3636,0.1667,0.5762,
5,Logistic Regression,0.6364,0.5714,0.5714,0.6,0.5714,0.5,0.0,0.375,0.7778,0.4,1.0,0.5,0.0,1.0,1.0,0.8889,0.3333,0.5,0.0,0.6,0.6667,0.6,0.4167,0.4545,0.0,0.5185,
5,KNN,0.7273,0.8571,0.5714,1.0,0.5714,1.0,0.5,0.625,0.5556,0.2,1.0,0.75,0.0,0.0,1.0,0.8889,0.3333,0.0,0.0,0.6,0.3333,0.6,0.25,0.0909,0.0,0.4982,
5,Gradient Boosting,0.5455,0.5714,0.4286,0.8,0.5714,0.0,0.25,0.5,0.5556,0.4,1.0,0.25,0.0,1.0,0.8571,0.8889,0.3333,0.5,0.0,0.8,0.5,0.6,0.4167,0.4545,0.1667,0.4956,
5,MLP Neural Network,0.6364,1.0,0.5714,0.8,0.4286,1.0,0.5,0.625,0.5556,0.6,1.0,0.75,0.0,1.0,0.8571,0.8889,0.6667,0.5,0.0,0.8,0.5,0.8,0.1667,0.2727,0.0,0.5968,
5,MLP (PyTorch),0.6364,0.8571,0.7143,0.8,0.5714,1.0,0.0,0.75,0.7778,0.2,1.0,0.5,0.0,1.0,1.0,0.8889,0.6667,0.5,0.0,0.8,0.6667,0.6,0.25,0.3636,0.1667,0.5884,
5,CNN (PyTorch),0.6364,0.8571,0.5714,0.6,0.7143,1.0,0.25,0.75,0.7778,0.4,1.0,0.5,0.0,1.0,1.0,0.8889,0.3333,0.5,0.0,0.6,0.6667,0.6,0.3333,0.4545,0.3333,0.5907,
5,Fold_5_Avg,0.6263,0.746,0.5238,0.7333,0.5714,0.7222,0.3056,0.5972,0.6667,0.3556,0.963,0.5278,0.0,0.7778,0.9206,0.8766,0.5185,0.3889,0.0,0.6667,0.5556,0.6,0.3148,0.3434,0.1111,0.5365,
6,SVM,0.7692,1.0,0.4,0.8571,1.0,0.4,1.0,,0.7143,0.6,1.0,0.6154,0.3333,0.4,0.8,0.5,0.75,0.4286,0.0,0.2,0.5714,0.4545,0.3333,0.5,0.0,0.5451,0.0
6,Decision Tree,0.6923,0.25,0.2,0.4286,0.5,0.4,1.0,,0.7143,0.4,1.0,0.4615,0.3333,0.2,0.9,0.5,0.75,0.2857,0.0,0.4,0.4286,0.2727,0.0,1.0,0.0,0.4580,0.3333
6,Random Forest,0.6923,0.75,0.6,0.8571,0.5,0.4,1.0,,0.7143,0.8,1.0,0.5385,0.3333,0.6,0.9,0.5,1.0,0.5714,0.0,0.4,0.4286,0.6364,0.2222,1.0,0.0,0.5778,0.0
6,Logistic Regression,0.6923,1.0,0.6,0.8571,0.5,0.4,1.0,,0.7143,0.8,1.0,0.3077,0.3333,0.6,0.8,0.5,0.75,0.1429,0.5,0.4,0.5714,0.5455,0.1111,0.5,0.0,0.5450,0.0
6,KNN,0.7692,0.75,0.6,0.8571,1.0,0.6,1.0,,0.7143,0.8,0.75,0.5385,0.3333,0.6,0.9,0.25,1.0,0.4286,0.0,0.4,0.4286,0.5455,0.3333,0.5,0.0,0.5639,0.0
6,Gradient Boosting,0.3846,0.75,0.6,0.7143,0.5,0.6,1.0,,0.7143,0.8,1.0,0.4615,0.1667,0.6,0.9,0.5,1.0,0.2857,0.0,0.4,0.2857,0.7273,0.3333,0.5,0.0,0.5423,0.3333
6,MLP Neural Network,0.3846,1.0,0.6,0.8571,0.5,0.4,1.0,,0.8571,0.8,0.75,0.3846,0.5,0.6,0.8,0.5,0.75,0.7143,0.5,0.4,0.7143,0.4545,0.3333,0.5,0.0,0.5987,0.6667
6,MLP (PyTorch),0.6923,1.0,0.6,0.8571,1.0,0.4,1.0,,0.7143,0.6,1.0,0.3846,0.3333,0.4,0.8,0.5,0.75,0.5714,0.0,0.8,0.5714,0.5455,0.2222,0.5,0.0,0.5964,0.6667
6,CNN (PyTorch),0.6154,1.0,0.6,0.8571,1.0,0.6,1.0,,1.0,0.8,1.0,0.6154,0.3333,0.4,0.9,0.25,0.75,0.2857,0.5,0.8,0.7143,0.5455,0.2222,1.0,0.0,0.6582,0.6667
6,Fold_6_Avg,0.6325,0.8333,0.5333,0.7936,0.7222,0.4667,1.0,,0.7619,0.7111,0.9444,0.4786,0.3333,0.4889,0.8556,0.4444,0.8333,0.4127,0.1667,0.4667,0.5238,0.5253,0.2345,0.6667,0.0,0.5650,0.2963
7,SVM,0.8333,0.9091,0.5,0.7273,0.6667,0.6667,0.6667,,1.0,1.0,1.0,0.8,0.75,0.4,0.8,0.8,0.6,0.8,0.0,0.4286,0.2222,0.625,0.7143,0.4286,0.5,0.6335,0.0
7,Decision Tree,0.75,0.5455,0.5,0.6364,0.5556,0.3333,0.3333,,0.0,0.5,0.6667,0.6,0.0,0.2,0.6,0.6,0.2,0.0,0.5,0.1429,0.2222,0.5,0.2857,0.1429,0.5,0.4126,1.0
7,Random Forest,0.9167,0.8182,0.5,0.7273,0.5556,0.6667,0.6667,,0.25,1.0,1.0,0.6,0.5,0.4,0.8,0.8,0.4,0.4,0.0,0.5714,0.3333,0.625,0.1429,0.5714,0.5,0.5898,1.0
7,Logistic Regression,0.6667,0.8182,0.5,0.8182,0.5556,0.6667,0.3333,,1.0,1.0,0.6667,0.4,0.75,0.5,0.8,0.8,0.2,0.8,0.0,0.4286,0.1111,0.625,0.8571,0.4286,0.5,0.6090,1.0
7,KNN,0.9167,1.0,0.5,0.7273,0.5556,0.6667,0.6667,,0.75,0.5,1.0,0.6,0.5,0.4,0.8,0.8,0.6,0.4,0.5,0.4286,0.2222,0.75,0.1429,0.1429,0.5,0.6028,1.0
7,Gradient Boosting,0.8333,0.7273,0.5,0.6364,0.5556,0.6667,0.6667,,0.5,0.5,0.6667,0.4,0.25,0.2,0.8,0.8,0.0,0.4,0.0,0.4286,0.3333,0.625,0.4286,0.1429,0.5,0.5024,1.0
7,MLP Neural Network,0.8333,0.9091,0.0,0.7273,0.4444,0.6667,0.0,,0.75,0.5,1.0,0.6,0.5,0.5,0.6,0.8,0.4,0.4,0.5,0.5714,0.2222,0.625,0.5714,0.1429,0.5,0.5505,1.0
7,MLP (PyTorch),0.8333,0.9091,0.5,0.7273,0.6667,0.6667,0.6667,,1.0,1.0,1.0,0.6,0.75,0.6,0.8,0.8,0.8,0.8,0.0,0.5714,0.1111,0.75,0.8571,0.4286,0.5,0.6935,1.0
7,CNN (PyTorch),0.9167,0.9091,0.5,0.7273,0.6667,0.6667,0.6667,,1.0,1.0,1.0,0.6,0.75,0.5,0.8,0.8,0.4,0.6,0.5,0.5714,0.3333,0.75,0.1429,0.1429,0.5,0.6577,1.0
7,Fold_7_Avg,0.8333,0.8384,0.4444,0.7172,0.5803,0.6297,0.5185,,0.6944,0.7778,0.8889,0.5778,0.5278,0.4111,0.7556,0.7778,0.4,0.5111,0.2222,0.4603,0.2345,0.6528,0.4603,0.2857,0.5,0.5836,0.8889
8,SVM,0.7143,0.6,0.0,0.9091,0.0,0.6667,0.6667,0.5,0.7143,0.6,1.0,0.625,0.0,0.3333,0.6667,0.8182,1.0,0.4444,0.0,0.6,0.1429,0.4286,0.2,0.1429,0.3333,0.4656,0.0
8,Decision Tree,0.7143,0.6,0.0,0.6364,0.2,0.8333,0.1667,0.75,0.8571,0.2,1.0,0.5,0.0,0.5,0.6667,0.6364,0.6,0.2222,0.0,0.4,0.0,0.7143,0.4,0.4286,0.6667,0.4497,0.0
8,Random Forest,0.8571,0.8,0.0,0.7273,0.4,0.8333,0.3333,0.75,0.7143,0.6,1.0,0.75,0.0,0.5,0.6667,0.8182,1.0,0.4444,0.0,0.8,0.4286,0.8571,0.2,0.0,0.3333,0.5313,0.0
8,Logistic Regression,0.5714,0.4,0.0,0.9091,0.0,0.6667,0.5,0.5,0.7143,0.2,1.0,0.625,0.0,0.3333,1.0,0.8182,0.8,0.5556,0.0,0.6,0.1429,0.7143,0.2,0.1429,0.3333,0.4510,0.0
8,KNN,0.8571,0.6,1.0,0.7273,0.4,0.8333,0.6667,0.5,0.8571,0.6,1.0,0.75,0.0,0.5,1.0,0.5455,1.0,0.5556,0.25,0.6,0.2857,0.4286,0.0,0.0,0.3333,0.5496,0.0
8,Gradient Boosting,0.7143,1.0,0.0,0.6364,0.2,0.6667,0.3333,0.75,0.7143,0.4,1.0,0.5,0.0,0.5,0.6667,0.8182,0.8,0.4444,0.0,0.8,0.2857,0.8571,0.4,0.5714,0.3333,0.5151,0.0
8,MLP Neural Network,0.5714,0.4,1.0,0.8182,0.4,0.8333,0.5,0.75,0.7143,0.2,1.0,0.875,0.0,0.6667,1.0,0.6364,1.0,0.4444,0.0,0.6,0.2857,0.7143,0.2,0.5714,0.3333,0.5582,0.0
8,MLP (PyTorch),0.7143,0.4,1.0,1.0,0.2,0.6667,0.5,0.5,0.7143,0.8,1.0,0.75,0.0,0.6667,0.6667,0.7273,1.0,0.5556,0.0,0.6,0.1429,0.8571,0.2,0.2857,0.3333,0.5621,0.3333
8,CNN (PyTorch),0.5714,0.4,1.0,1.0,0.2,1.0,0.8333,0.5,0.8571,0.4,1.0,0.875,0.0,0.5,1.0,0.5455,1.0,0.5556,0.0,0.6,0.4286,0.8571,0.2,0.4286,0.6667,0.6059,0.3333
8,Fold_8_Avg,0.6984,0.5778,0.4444,0.8182,0.2222,0.7778,0.5,0.6111,0.7619,0.4444,1.0,0.6944,0.0,0.5,0.8148,0.7071,0.9111,0.4691,0.0278,0.6222,0.2381,0.7143,0.2222,0.2857,0.4074,0.5209,0.0741
9,SVM,0.75,0.875,0.3333,0.9091,0.5,0.3333,0.5,0.6667,1.0,0.2857,1.0,0.625,0.5714,0.5,0.6667,0.875,1.0,0.1429,0.0,0.5,0.3333,0.8333,0.4,0.0,1.0,0.5840,
9,Decision Tree,0.5,0.625,0.5,0.9091,0.25,0.3333,0.5,0.5,0.375,0.4286,0.3333,0.25,0.5714,0.8333,0.5,0.75,0.3333,0.1429,0.0,0.25,0.3333,0.8333,0.2,0.5,0.0,0.4301,
9,Random Forest,0.625,1.0,0.6667,0.9091,0.75,0.3333,0.5,0.8333,0.75,0.2857,1.0,0.375,0.5714,0.3333,0.6667,0.875,0.6667,0.1429,0.0,0.5,0.3333,0.8333,0.4,0.5,1.0,0.5940,
9,Logistic Regression,0.75,1.0,0.3333,0.9091,0.5,0.3333,0.5,0.6667,1.0,0.4286,1.0,0.5,0.5714,0.5,0.6667,0.875,0.6667,0.2857,0.0,0.5,0.3333,0.8333,0.3,0.5,1.0,0.5981,
9,KNN,0.875,0.875,0.1667,0.9091,1.0,0.6667,0.5,0.5,1.0,0.4286,1.0,0.375,0.7143,0.5,0.6667,0.625,1.0,0.1429,0.3333,0.5,0.3333,0.8333,0.3,0.0,0.6667,0.5965,
9,Gradient Boosting,0.375,0.75,0.5,0.9091,0.75,0.0,0.0,0.8333,0.875,0.5714,0.6667,0.25,0.4286,0.3333,0.6667,0.75,0.3333,0.2857,0.3333,0.5,0.0,0.8333,0.5,0.5,0.3333,0.4911,
9,MLP Neural Network,0.625,0.875,0.6667,0.9091,0.5,0.6667,0.0,0.8333,0.75,0.2857,0.6667,0.375,0.8571,0.5,0.6667,0.875,1.0,0.5714,0.0,0.5,0.3333,0.6667,0.2,0.5,1.0,0.5929,
9,MLP (PyTorch),0.875,1.0,0.5,0.9091,0.5,0.3333,0.5,0.6667,0.875,0.2857,1.0,0.5,0.7143,0.3333,0.6667,0.875,0.6667,0.4286,0.0,0.5,0.3333,0.8333,0.2,0.0,1.0,0.5798,
9,CNN (PyTorch),0.875,1.0,1.0,1.0,0.75,0.6667,0.5,0.6667,0.875,0.4286,1.0,0.625,0.5714,0.5,0.8333,1.0,1.0,0.5714,0.0,0.5,0.3333,0.8333,0.4,0.0,1.0,0.6772,
9,Fold_9_Avg,0.6944,0.8889,0.5185,0.9192,0.6111,0.4074,0.3889,0.6852,0.8333,0.381,0.8519,0.4306,0.619,0.4815,0.6667,0.8333,0.7407,0.3016,0.0741,0.4722,0.2963,0.8148,0.3222,0.2778,0.7778,0.5715,
10,SVM,0.875,0.625,0.1429,1.0,0.5714,0.4,0.3333,0.8333,0.8333,0.2857,1.0,0.6,0.75,0.0,1.0,0.8,0.75,0.4,0.0,0.5714,0.2857,0.75,0.625,0.1667,0.3333,0.5573,
10,Decision Tree,0.75,0.625,0.1429,0.8,0.5714,0.6,0.3333,0.6667,0.5,0.4286,0.75,0.2,0.5,0.0,0.6667,0.6,0.75,0.0,0.0,0.1429,0.2857,1.0,0.25,0.1667,0.0,0.4292,
10,Random Forest,0.875,0.875,0.8571,1.0,1.0,0.6,0.3333,0.6667,0.6667,0.2857,1.0,0.6,0.75,1.0,1.0,0.6,1.0,0.2,0.0,0.4286,0.2857,0.75,0.375,0.3333,0.3333,0.6326,
10,Logistic Regression,0.75,0.75,0.1429,1.0,0.5714,0.4,0.3333,0.8333,0.8333,0.2857,1.0,0.6,0.75,0.0,1.0,0.8,0.75,0.4,0.0,0.2857,0.2857,0.75,0.375,0.1667,0.3333,0.5359,
10,KNN,1.0,0.75,0.4286,1.0,1.0,0.6,0.3333,0.6667,0.8333,0.2857,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.2,0.0,0.4286,0.1429,0.5,0.125,0.3333,0.0,0.6091,
10,Gradient Boosting,0.625,0.875,0.7143,1.0,0.7143,0.6,0.3333,0.8333,0.6667,0.4286,0.75,0.2,0.75,0.0,1.0,0.8,1.0,0.4,0.0,0.4286,0.2143,0.75,0.375,0.3333,0.0,0.5517,
10,MLP Neural Network,0.625,0.75,0.5714,1.0,1.0,0.8,0.3333,0.6667,0.6667,0.4286,1.0,0.8,0.5,0.0,1.0,1.0,0.75,0.4,0.0,0.5714,0.5,0.75,0.375,0.3333,0.6667,0.6195,
10,MLP (PyTorch),1.0,0.75,0.8571,1.0,0.8571,0.8,0.3333,0.8333,0.8333,0.5714,1.0,0.6,0.75,0.0,1.0,0.8,0.75,0.4,0.0,0.4286,0.3571,0.75,0.75,0.5,0.3333,0.6502,
10,CNN (PyTorch),1.0,0.75,0.7143,1.0,1.0,0.8,0.3333,0.8333,0.8333,0.5714,1.0,0.8,0.75,1.0,1.0,1.0,1.0,0.4,0.0,0.4286,0.4286,0.5,0.75,0.3333,0.3333,0.7024,
10,Fold_10_Avg,0.8333,0.75,0.5079,0.9778,0.8095,0.6222,0.3333,0.7593,0.7407,0.3968,0.9444,0.6,0.7222,0.3333,0.963,0.7778,0.8611,0.3111,0.0,0.4127,0.3095,0.7222,0.4444,0.2963,0.2592,0.5875,
,CNN (PyTorch)_Avg,0.7748,0.8055,0.7652,0.9184,0.7331,0.59,0.5048,0.625,0.8165,0.5689,0.875,0.6087,0.4376,0.5721,0.8611,0.7659,0.7287,0.4664,0.1533,0.4071,0.4761,0.605,0.3767,0.3443,0.5167,0.6101,0.5
,Decision Tree_Avg,0.6003,0.5981,0.4505,0.7136,0.4265,0.4833,0.4048,0.5052,0.5188,0.4573,0.6517,0.404,0.2748,0.3221,0.7093,0.6846,0.5377,0.2115,0.12,0.225,0.2694,0.6392,0.2201,0.3703,0.3333,0.4431,0.3333
,Gradient Boosting_Avg,0.5911,0.8174,0.4493,0.8204,0.5574,0.3367,0.4298,0.6458,0.6504,0.5442,0.7433,0.4319,0.4138,0.4121,0.7968,0.7589,0.6336,0.3977,0.1283,0.3786,0.3447,0.6357,0.3508,0.3902,0.3333,0.5157,0.3333
,KNN_Avg,0.8579,0.8721,0.6283,0.9221,0.8305,0.6033,0.6345,0.4531,0.7925,0.498,0.925,0.6142,0.3833,0.4964,0.8444,0.667,0.7588,0.2932,0.1083,0.3862,0.3443,0.6072,0.1915,0.205,0.35,0.5666,0.25
,Logistic Regression_Avg,0.7,0.7428,0.4431,0.9094,0.5961,0.4133,0.4774,0.5573,0.7947,0.5703,0.8667,0.4076,0.4719,0.4755,0.8581,0.7857,0.6613,0.4406,0.05,0.3243,0.4078,0.6482,0.3324,0.3526,0.3167,0.5397,0.25
,MLP (PyTorch)_Avg,0.7685,0.818,0.6705,0.9294,0.6947,0.5033,0.5107,0.625,0.7822,0.5751,0.95,0.5306,0.4319,0.4488,0.7775,0.7966,0.7246,0.5227,0.0,0.3843,0.3677,0.67,0.3128,0.2911,0.3667,0.5765,0.5
,MLP Neural Network_Avg,0.6076,0.8184,0.6343,0.9112,0.6717,0.7033,0.4798,0.7135,0.7108,0.5409,0.8167,0.5956,0.39,0.4564,0.8002,0.8018,0.6995,0.4729,0.15,0.4467,0.5204,0.5832,0.3701,0.437,0.5167,0.5903,0.4167
,Random Forest_Avg,0.7702,0.86,0.5386,0.8821,0.7698,0.65,0.5762,0.6302,0.6976,0.5312,0.95,0.5635,0.404,0.5321,0.8093,0.7871,0.768,0.4547,0.0,0.3929,0.4006,0.6573,0.2619,0.4385,0.5,0.5875,0.25
